FECHA,HORA,BJU
28/01/2018,15,23
28/01/2018,16,21
28/01/2018,17,25
28/01/2018,18,17
28/01/2018,19,18
28/01/2018,20,12
28/01/2018,21,13
28/01/2018,22,13
28/01/2018,23,8
28/01/2018,24,5
29/01/2018,1,-99
29/01/2018,2,-99
29/01/2018,3,-99
29/01/2018,4,-99
29/01/2018,5,6
29/01/2018,6,5
29/01/2018,7,8
29/01/2018,8,15
29/01/2018,9,17
29/01/2018,10,23
29/01/2018,11,22
29/01/2018,12,21
29/01/2018,13,28
29/01/2018,14,24
29/01/2018,15,26
29/01/2018,16,24
29/01/2018,17,18
29/01/2018,18,28
29/01/2018,19,22
29/01/2018,20,17
29/01/2018,21,18
29/01/2018,22,17
29/01/2018,23,17
29/01/2018,24,14
30/01/2018,1,12
30/01/2018,2,17
30/01/2018,3,19
30/01/2018,4,24
30/01/2018,5,23
30/01/2018,6,19
30/01/2018,7,22
30/01/2018,8,33
30/01/2018,9,31
30/01/2018,10,29
30/01/2018,11,28
30/01/2018,12,34
30/01/2018,13,42
30/01/2018,14,54
30/01/2018,15,48
30/01/2018,16,50
30/01/2018,17,55
30/01/2018,18,60
30/01/2018,19,68
30/01/2018,20,58
30/01/2018,21,50
30/01/2018,22,43
30/01/2018,23,41
30/01/2018,24,43
31/01/2018,1,39
31/01/2018,2,40
31/01/2018,3,39
31/01/2018,4,38
31/01/2018,5,38
31/01/2018,6,41
31/01/2018,7,40
31/01/2018,8,47
31/01/2018,9,53
31/01/2018,10,61
31/01/2018,11,77
31/01/2018,12,92
31/01/2018,13,107
31/01/2018,14,66
31/01/2018,15,17
31/01/2018,16,17
31/01/2018,17,15
31/01/2018,18,14
31/01/2018,19,21
31/01/2018,20,28
31/01/2018,21,28
31/01/2018,22,35
31/01/2018,23,39
31/01/2018,24,55
01/02/2018,1,52
01/02/2018,2,30
01/02/2018,3,31
01/02/2018,4,32
01/02/2018,5,23
01/02/2018,6,26
01/02/2018,7,36
01/02/2018,8,57
01/02/2018,9,64
01/02/2018,10,62
01/02/2018,11,69
01/02/2018,12,49
01/02/2018,13,55
01/02/2018,14,39
01/02/2018,15,27
01/02/2018,16,30
01/02/2018,17,29
01/02/2018,18,31
01/02/2018,19,70
01/02/2018,20,77
01/02/2018,21,70
01/02/2018,22,39
01/02/2018,23,41
01/02/2018,24,35
02/02/2018,1,29
02/02/2018,2,25
02/02/2018,3,23
02/02/2018,4,21
02/02/2018,5,23
02/02/2018,6,27
02/02/2018,7,40
02/02/2018,8,63
02/02/2018,9,75
02/02/2018,10,51
02/02/2018,11,34
02/02/2018,12,43
02/02/2018,13,54
02/02/2018,14,55
02/02/2018,15,42
02/02/2018,16,46
02/02/2018,17,51
02/02/2018,18,49
02/02/2018,19,69
02/02/2018,20,73
02/02/2018,21,73
02/02/2018,22,55
02/02/2018,23,47
02/02/2018,24,51
03/02/2018,1,54
03/02/2018,2,48
03/02/2018,3,44
03/02/2018,4,41
03/02/2018,5,46
03/02/2018,6,50
03/02/2018,7,65
03/02/2018,8,60
03/02/2018,9,72
03/02/2018,10,88
03/02/2018,11,90
03/02/2018,12,88
03/02/2018,13,72
03/02/2018,14,57
03/02/2018,15,59
03/02/2018,16,54
03/02/2018,17,54
03/02/2018,18,52
03/02/2018,19,50
03/02/2018,20,45
03/02/2018,21,47
03/02/2018,22,49
03/02/2018,23,51
03/02/2018,24,52
04/02/2018,1,50
04/02/2018,2,45
04/02/2018,3,44
04/02/2018,4,45
04/02/2018,5,77
04/02/2018,6,83
04/02/2018,7,77
04/02/2018,8,67
04/02/2018,9,68
04/02/2018,10,67
04/02/2018,11,62
04/02/2018,12,46
04/02/2018,13,36
04/02/2018,14,41
04/02/2018,15,40
04/02/2018,16,37
04/02/2018,17,43
04/02/2018,18,40
04/02/2018,19,56
04/02/2018,20,53
04/02/2018,21,47
04/02/2018,22,41
04/02/2018,23,41
04/02/2018,24,36
05/02/2018,1,29
05/02/2018,2,25
05/02/2018,3,22
05/02/2018,4,22
05/02/2018,5,19
05/02/2018,6,19
05/02/2018,7,27
05/02/2018,8,34
05/02/2018,9,40
05/02/2018,10,37
05/02/2018,11,39
05/02/2018,12,40
05/02/2018,13,37
05/02/2018,14,35
05/02/2018,15,38
05/02/2018,16,42
05/02/2018,17,45
05/02/2018,18,43
05/02/2018,19,52
05/02/2018,20,38
05/02/2018,21,48
05/02/2018,22,42
05/02/2018,23,34
05/02/2018,24,36
06/02/2018,1,40
06/02/2018,2,33
06/02/2018,3,37
06/02/2018,4,32
06/02/2018,5,35
06/02/2018,6,49
06/02/2018,7,52
06/02/2018,8,79
06/02/2018,9,72
06/02/2018,10,82
06/02/2018,11,73
06/02/2018,12,61
06/02/2018,13,62
06/02/2018,14,67
06/02/2018,15,58
06/02/2018,16,54
06/02/2018,17,57
06/02/2018,18,60
06/02/2018,19,54
06/02/2018,20,49
06/02/2018,21,54
06/02/2018,22,45
06/02/2018,23,39
06/02/2018,24,57
07/02/2018,1,41
07/02/2018,2,37
07/02/2018,3,35
07/02/2018,4,35
07/02/2018,5,42
07/02/2018,6,57
07/02/2018,7,66
07/02/2018,8,79
07/02/2018,9,77
07/02/2018,10,71
07/02/2018,11,94
07/02/2018,12,87
07/02/2018,13,84
07/02/2018,14,68
07/02/2018,15,52
07/02/2018,16,64
07/02/2018,17,76
07/02/2018,18,79
07/02/2018,19,83
07/02/2018,20,73
07/02/2018,21,61
07/02/2018,22,55
07/02/2018,23,45
07/02/2018,24,36
08/02/2018,1,30
08/02/2018,2,23
08/02/2018,3,25
08/02/2018,4,25
08/02/2018,5,28
08/02/2018,6,26
08/02/2018,7,23
08/02/2018,8,32
08/02/2018,9,32
08/02/2018,10,32
08/02/2018,11,39
08/02/2018,12,29
08/02/2018,13,38
08/02/2018,14,40
08/02/2018,15,37
08/02/2018,16,44
08/02/2018,17,45
08/02/2018,18,56
08/02/2018,19,54
08/02/2018,20,59
08/02/2018,21,46
08/02/2018,22,29
08/02/2018,23,19
08/02/2018,24,15
09/02/2018,1,16
09/02/2018,2,16
09/02/2018,3,19
09/02/2018,4,18
09/02/2018,5,20
09/02/2018,6,25
09/02/2018,7,35
09/02/2018,8,33
09/02/2018,9,39
09/02/2018,10,52
09/02/2018,11,56
09/02/2018,12,59
09/02/2018,13,55
09/02/2018,14,47
09/02/2018,15,46
09/02/2018,16,42
09/02/2018,17,37
09/02/2018,18,36
09/02/2018,19,40
09/02/2018,20,34
09/02/2018,21,24
09/02/2018,22,15
09/02/2018,23,16
09/02/2018,24,17
10/02/2018,1,10
10/02/2018,2,10
10/02/2018,3,10
10/02/2018,4,16
10/02/2018,5,16
10/02/2018,6,20
10/02/2018,7,25
10/02/2018,8,31
10/02/2018,9,30
10/02/2018,10,41
10/02/2018,11,45
10/02/2018,12,44
10/02/2018,13,48
10/02/2018,14,62
10/02/2018,15,42
10/02/2018,16,28
10/02/2018,17,31
10/02/2018,18,24
10/02/2018,19,23
10/02/2018,20,18
10/02/2018,21,21
10/02/2018,22,20
10/02/2018,23,21
10/02/2018,24,22
11/02/2018,1,24
11/02/2018,2,25
11/02/2018,3,27
11/02/2018,4,16
11/02/2018,5,16
11/02/2018,6,21
11/02/2018,7,26
11/02/2018,8,28
11/02/2018,9,36
11/02/2018,10,39
11/02/2018,11,24
11/02/2018,12,16
11/02/2018,13,22
11/02/2018,14,23
11/02/2018,15,21
11/02/2018,16,27
11/02/2018,17,24
11/02/2018,18,23
11/02/2018,19,18
11/02/2018,20,31
11/02/2018,21,25
11/02/2018,22,32
11/02/2018,23,25
11/02/2018,24,27
12/02/2018,1,24
12/02/2018,2,23
12/02/2018,3,28
12/02/2018,4,24
12/02/2018,5,27
12/02/2018,6,31
12/02/2018,7,40
12/02/2018,8,52
12/02/2018,9,53
12/02/2018,10,67
12/02/2018,11,64
12/02/2018,12,71
12/02/2018,13,59
12/02/2018,14,59
12/02/2018,15,46
12/02/2018,16,42
12/02/2018,17,37
12/02/2018,18,38
12/02/2018,19,34
12/02/2018,20,27
12/02/2018,21,40
12/02/2018,22,29
12/02/2018,23,18
12/02/2018,24,20
13/02/2018,1,21
13/02/2018,2,23
13/02/2018,3,30
13/02/2018,4,33
13/02/2018,5,34
13/02/2018,6,43
13/02/2018,7,42
13/02/2018,8,67
13/02/2018,9,124
13/02/2018,10,106
13/02/2018,11,118
13/02/2018,12,120
13/02/2018,13,122
13/02/2018,14,100
13/02/2018,15,77
13/02/2018,16,67
13/02/2018,17,70
13/02/2018,18,47
13/02/2018,19,46
13/02/2018,20,58
13/02/2018,21,47
13/02/2018,22,41
13/02/2018,23,30
13/02/2018,24,29
14/02/2018,1,31
14/02/2018,2,26
14/02/2018,3,23
14/02/2018,4,28
14/02/2018,5,28
14/02/2018,6,17
14/02/2018,7,27
14/02/2018,8,33
14/02/2018,9,43
14/02/2018,10,45
14/02/2018,11,49
14/02/2018,12,69
14/02/2018,13,74
14/02/2018,14,63
14/02/2018,15,46
14/02/2018,16,36
14/02/2018,17,37
14/02/2018,18,38
14/02/2018,19,55
14/02/2018,20,57
14/02/2018,21,49
14/02/2018,22,49
14/02/2018,23,31
14/02/2018,24,25
15/02/2018,1,27
15/02/2018,2,20
15/02/2018,3,19
15/02/2018,4,20
15/02/2018,5,33
15/02/2018,6,32
15/02/2018,7,41
15/02/2018,8,56
15/02/2018,9,58
15/02/2018,10,65
15/02/2018,11,67
15/02/2018,12,59
15/02/2018,13,58
15/02/2018,14,50
15/02/2018,15,43
15/02/2018,16,59
15/02/2018,17,60
15/02/2018,18,56
15/02/2018,19,64
15/02/2018,20,56
15/02/2018,21,44
15/02/2018,22,37
15/02/2018,23,36
15/02/2018,24,36
16/02/2018,1,35
16/02/2018,2,33
16/02/2018,3,26
16/02/2018,4,17
16/02/2018,5,47
16/02/2018,6,53
16/02/2018,7,48
16/02/2018,8,69
16/02/2018,9,52
16/02/2018,10,56
16/02/2018,11,67
16/02/2018,12,78
16/02/2018,13,59
16/02/2018,14,72
16/02/2018,15,59
16/02/2018,16,54
16/02/2018,17,53
16/02/2018,18,67
16/02/2018,19,75
16/02/2018,20,52
16/02/2018,21,54
16/02/2018,22,60
16/02/2018,23,55
16/02/2018,24,49
17/02/2018,1,43
17/02/2018,2,36
17/02/2018,3,37
17/02/2018,4,54
17/02/2018,5,48
17/02/2018,6,55
17/02/2018,7,53
17/02/2018,8,57
17/02/2018,9,59
17/02/2018,10,52
17/02/2018,11,70
17/02/2018,12,77
17/02/2018,13,59
17/02/2018,14,45
17/02/2018,15,46
17/02/2018,16,42
17/02/2018,17,43
17/02/2018,18,54
17/02/2018,19,50
17/02/2018,20,48
17/02/2018,21,56
17/02/2018,22,32
17/02/2018,23,26
17/02/2018,24,42
18/02/2018,1,40
18/02/2018,2,40
18/02/2018,3,34
18/02/2018,4,25
18/02/2018,5,29
18/02/2018,6,36
18/02/2018,7,45
18/02/2018,8,48
18/02/2018,9,62
18/02/2018,10,65
18/02/2018,11,75
18/02/2018,12,74
18/02/2018,13,64
18/02/2018,14,34
18/02/2018,15,38
18/02/2018,16,40
18/02/2018,17,45
18/02/2018,18,89
18/02/2018,19,57
18/02/2018,20,61
18/02/2018,21,55
18/02/2018,22,48
18/02/2018,23,35
18/02/2018,24,39
19/02/2018,1,27
19/02/2018,2,25
19/02/2018,3,23
19/02/2018,4,25
19/02/2018,5,45
19/02/2018,6,28
19/02/2018,7,36
19/02/2018,8,36
19/02/2018,9,37
19/02/2018,10,41
19/02/2018,11,42
19/02/2018,12,45
19/02/2018,13,40
19/02/2018,14,42
19/02/2018,15,43
19/02/2018,16,49
19/02/2018,17,50
19/02/2018,18,47
19/02/2018,19,40
19/02/2018,20,36
19/02/2018,21,32
19/02/2018,22,39
19/02/2018,23,31
19/02/2018,24,31
20/02/2018,1,24
20/02/2018,2,29
