FECHA,HORA,ATI,BJU,CUA,CUT,FAC
1/20/2020,13,11,27,20,-99,-99
1/20/2020,14,11,31,27,-99,-99
1/20/2020,15,6,23,24,12,-99
1/20/2020,16,5,24,19,24,-99
1/20/2020,17,32,28,25,13,-99
1/20/2020,18,22,34,32,25,-99
1/20/2020,19,30,31,38,29,-99
1/20/2020,20,26,36,26,10,-99
1/20/2020,21,4,40,28,10,-99
1/20/2020,22,10,27,38,7,-99
1/20/2020,23,4,25,26,3,-99
1/20/2020,24,3,16,22,2,-99
1/21/2020,1,-99,16,29,-99,-99
1/21/2020,2,1,16,29,-99,-99
1/21/2020,3,2,17,28,-99,-99
1/21/2020,4,3,17,17,13,-99
1/21/2020,5,9,21,22,14,1
1/21/2020,6,21,22,13,17,-99
1/21/2020,7,29,27,15,15,-99
1/21/2020,8,37,39,18,41,-99
1/21/2020,9,50,33,24,62,-99
1/21/2020,10,37,36,38,47,-99
1/21/2020,11,43,42,42,34,-99
1/21/2020,12,59,61,64,46,-99
1/21/2020,13,69,66,41,58,-99
1/21/2020,14,51,58,27,55,-99
1/21/2020,15,25,52,13,20,104
1/21/2020,16,22,36,20,14,54
1/21/2020,17,23,48,25,11,38
1/21/2020,18,25,63,24,22,41
1/21/2020,19,64,66,35,60,55
1/21/2020,20,50,57,47,62,60
1/21/2020,21,38,63,42,59,59
1/21/2020,22,21,58,49,78,53
1/21/2020,23,24,57,36,99,66
1/21/2020,24,27,64,61,58,41
1/22/2020,1,24,52,56,41,37
1/22/2020,2,21,50,50,38,23
1/22/2020,3,21,38,32,29,28
1/22/2020,4,18,47,18,26,24
1/22/2020,5,18,63,9,40,28
1/22/2020,6,29,57,11,50,27
1/22/2020,7,53,63,20,56,53
1/22/2020,8,72,66,16,72,71
1/22/2020,9,75,68,16,120,79
1/22/2020,10,-99,62,11,91,89
1/22/2020,11,78,63,5,98,118
1/22/2020,12,48,52,13,73,48
1/22/2020,13,39,37,30,32,27
1/22/2020,14,41,39,47,48,34
1/22/2020,15,44,43,22,48,40
1/22/2020,16,25,52,38,23,33
1/22/2020,17,19,50,25,12,27
1/22/2020,18,24,38,37,26,24
1/22/2020,19,9,32,30,25,23
1/22/2020,20,15,28,30,34,21
1/22/2020,21,14,33,18,27,22
1/22/2020,22,25,47,35,42,27
1/22/2020,23,25,59,14,42,27
1/22/2020,24,23,59,28,40,28
1/23/2020,1,15,59,12,44,22
1/23/2020,2,10,70,14,43,25
1/23/2020,3,17,76,19,24,10
1/23/2020,4,12,48,15,29,17
1/23/2020,5,22,50,14,28,20
1/23/2020,6,31,44,18,36,32
1/23/2020,7,37,46,21,58,46
1/23/2020,8,36,41,17,86,63
1/23/2020,9,53,48,18,100,52
1/23/2020,10,30,49,19,80,56
1/23/2020,11,21,54,30,54,38
1/23/2020,12,31,59,16,3,24
1/23/2020,13,5,39,26,-99,2
1/23/2020,14,10,40,19,-99,4
1/23/2020,15,13,28,20,7,6
1/23/2020,16,2,31,19,6,7
1/23/2020,17,-99,30,18,10,5
1/23/2020,18,12,34,34,28,14
1/23/2020,19,28,35,39,65,31
1/23/2020,20,65,33,29,42,47
1/23/2020,21,31,48,36,22,34
1/23/2020,22,26,50,26,25,28
1/23/2020,23,20,30,30,12,18
1/23/2020,24,18,26,22,9,14
1/24/2020,1,15,28,23,16,10
1/24/2020,2,14,23,16,20,12
1/24/2020,3,19,19,18,14,12
1/24/2020,4,18,30,19,26,12
1/24/2020,5,21,35,30,21,17
1/24/2020,6,28,22,26,29,26
1/24/2020,7,32,40,35,47,49
1/24/2020,8,36,42,30,45,51
1/24/2020,9,49,48,43,55,64
1/24/2020,10,35,47,29,67,42
1/24/2020,11,-99,64,32,53,71
1/24/2020,12,-99,56,36,51,47
1/24/2020,13,42,43,36,39,29
1/24/2020,14,21,29,13,46,10
1/24/2020,15,29,29,6,36,14
1/24/2020,16,18,33,19,38,20
1/24/2020,17,31,35,18,35,23
1/24/2020,18,36,28,21,53,25
1/24/2020,19,87,36,21,75,36
1/24/2020,20,68,43,35,41,77
1/24/2020,21,44,67,55,39,52
1/24/2020,22,34,54,54,27,34
1/24/2020,23,37,50,45,29,33
1/24/2020,24,37,54,43,33,32
1/25/2020,1,32,44,37,34,32
1/25/2020,2,41,54,45,38,28
1/25/2020,3,25,51,47,30,21
1/25/2020,4,30,46,40,17,29
1/25/2020,5,28,55,35,17,19
1/25/2020,6,34,47,47,41,22
1/25/2020,7,43,48,23,27,33
1/25/2020,8,65,56,48,39,50
1/25/2020,9,64,62,35,68,77
1/25/2020,10,66,74,42,115,60
1/25/2020,11,85,80,51,41,60
1/25/2020,12,51,56,30,42,18
1/25/2020,13,21,35,13,40,28
1/25/2020,14,22,35,10,33,16
1/25/2020,15,15,26,11,30,17
1/25/2020,16,18,35,11,55,20
1/25/2020,17,25,38,11,77,22
1/25/2020,18,32,31,14,70,28
1/25/2020,19,18,32,22,36,29
1/25/2020,20,9,34,27,18,22
1/25/2020,21,25,34,26,39,32
1/25/2020,22,25,38,19,22,20
1/25/2020,23,27,34,19,24,15
1/25/2020,24,25,31,22,31,13
1/26/2020,1,23,34,27,35,18
1/26/2020,2,30,39,8,40,18
1/26/2020,3,18,36,-99,31,8
1/26/2020,4,21,35,15,29,12
1/26/2020,5,14,31,16,23,8
1/26/2020,6,13,29,12,26,12
1/26/2020,7,17,42,15,29,18
1/26/2020,8,35,39,17,41,20
1/26/2020,9,34,42,16,70,38
1/26/2020,10,44,29,6,44,49
1/26/2020,11,64,27,12,40,57
1/26/2020,12,41,29,6,45,40
1/26/2020,13,11,25,-99,35,32
1/26/2020,14,4,26,7,21,34
1/26/2020,15,9,28,17,13,8
1/26/2020,16,33,26,14,32,12
1/26/2020,17,37,48,15,20,39
1/26/2020,18,39,49,29,23,22
1/26/2020,19,30,46,21,30,20
1/26/2020,20,22,33,24,46,23
1/26/2020,21,27,45,26,59,33
1/26/2020,22,48,39,25,54,35
1/26/2020,23,30,45,45,43,33
1/26/2020,24,34,42,57,36,29
1/27/2020,1,24,37,12,38,26
1/27/2020,2,4,42,18,47,20
1/27/2020,3,5,34,6,42,13
1/27/2020,4,3,31,8,26,11
1/27/2020,5,11,27,12,12,3
1/27/2020,6,15,34,3,27,12
1/27/2020,7,30,48,14,30,34
1/27/2020,8,67,62,16,53,48
1/27/2020,9,48,62,14,70,62
1/27/2020,10,65,-99,7,66,68
1/27/2020,11,16,-99,24,52,37
1/27/2020,12,26,-99,21,17,-99
1/27/2020,13,13,43,12,9,5
1/27/2020,14,-99,42,31,16,18
1/27/2020,15,1,45,27,-99,23
1/27/2020,16,4,35,30,26,30
1/27/2020,17,14,39,27,13,20
1/27/2020,18,10,37,38,23,16
1/27/2020,19,17,39,44,26,15
1/27/2020,20,5,30,24,44,30
1/27/2020,21,4,31,19,58,27
1/27/2020,22,33,32,22,35,34
1/27/2020,23,32,37,21,48,30
1/27/2020,24,19,37,-99,52,49
1/28/2020,1,11,33,10,37,23
1/28/2020,2,18,27,14,19,15
1/28/2020,3,22,22,8,18,6
1/28/2020,4,20,26,16,18,11
1/28/2020,5,12,20,17,20,7
1/28/2020,6,17,23,6,41,23
1/28/2020,7,31,24,13,39,45
1/28/2020,8,58,40,32,65,64
1/28/2020,9,58,49,12,82,68
1/28/2020,10,55,34,9,75,98
1/28/2020,11,57,29,18,52,62
1/28/2020,12,43,14,20,82,19
1/28/2020,13,9,17,18,52,11
1/28/2020,14,18,17,22,21,10
1/28/2020,15,24,18,28,29,33
1/28/2020,16,32,33,31,23,39
1/28/2020,17,58,52,28,17,42
1/28/2020,18,27,57,27,30,39
1/28/2020,19,19,32,36,18,33
1/28/2020,20,11,33,17,34,25
1/28/2020,21,11,35,26,37,20
1/28/2020,22,46,41,18,41,29
1/28/2020,23,58,52,16,65,36
1/28/2020,24,48,28,6,86,40
1/29/2020,1,23,32,-99,70,30
1/29/2020,2,27,29,7,79,18
1/29/2020,3,21,25,8,36,9
1/29/2020,4,12,16,21,31,15
1/29/2020,5,14,22,29,43,13
1/29/2020,6,42,21,29,48,34
1/29/2020,7,53,34,26,74,41
1/29/2020,8,37,58,59,69,70
1/29/2020,9,57,49,43,104,88
1/29/2020,10,57,63,41,55,42
1/29/2020,11,33,79,49,62,39
1/29/2020,12,45,74,44,100,63
1/29/2020,13,35,55,48,73,54
1/29/2020,14,26,-99,36,38,14
1/29/2020,15,8,27,24,43,16
1/29/2020,16,34,43,26,39,29
1/29/2020,17,43,42,38,54,33
1/29/2020,18,53,49,40,63,33
1/29/2020,19,29,41,16,54,18
1/29/2020,20,33,36,18,52,17
1/29/2020,21,27,33,20,47,22
1/29/2020,22,25,30,16,33,25
1/29/2020,23,25,28,23,36,21
1/29/2020,24,32,25,25,30,22
1/30/2020,1,21,25,22,19,6
1/30/2020,2,25,25,16,15,6
1/30/2020,3,15,22,14,15,12
1/30/2020,4,14,22,15,18,9
1/30/2020,5,17,23,19,27,13
1/30/2020,6,29,30,6,36,13
1/30/2020,7,51,41,16,66,34
1/30/2020,8,62,50,20,92,9
1/30/2020,9,45,64,25,104,23
1/30/2020,10,16,45,36,76,22
1/30/2020,11,21,35,27,37,29
1/30/2020,12,27,39,14,31,22
1/30/2020,13,37,30,29,43,28
1/30/2020,14,47,35,49,87,43
1/30/2020,15,34,41,33,84,39
1/30/2020,16,52,54,47,52,38
1/30/2020,17,30,-99,38,34,38
1/30/2020,18,8,-99,35,25,17
1/30/2020,19,6,-99,20,19,29
1/30/2020,20,4,-99,13,21,24
1/30/2020,21,11,-99,19,13,15
1/30/2020,22,19,-99,14,17,10
1/30/2020,23,16,31,6,21,16
